scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Galbula cyanicollis,Galbula_cyanicollis,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,3350000,1,0,0,0,0,1,0,0,0,0,3
Galbula dea,Galbula_dea,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,6560000,1,0,0,0,0,1,0,1,0,1,3
Galbula galbula,Galbula_galbula,Not a Migrant,Least Concern,Stable,0,1,1,0,0,0,0,0,0,2200000,1,0,0,1,0,1,0,1,1,1,3
Galbula leucogastra,Galbula_leucogastra,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,4750000,1,0,0,0,0,1,0,1,1,1,3
Galbula pastazae,Galbula_pastazae,Not a Migrant,Vulnerable,Decreasing,1,1,0,0,0,0,0,0,0,92500,1,0,0,0,0,1,0,0,0,0,3
Galbula ruficauda,Galbula_ruficauda,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,15700000,1,0,0,1,0,1,0,1,1,1,3
Galbula tombacea,Galbula_tombacea,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,1270000,1,0,0,0,0,1,0,0,0,1,3
Galerida cristata,Galerida_cristata,Full Migrant,Least Concern,Decreasing,0,0,0,1,1,1,1,1,1,52700000,0,1,1,1,0,0,1,1,1,0,5
Galerida deva,Galerida_deva,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,0,0,1300000,0,0,1,1,0,0,0,0,1,0,3
Galerida magnirostris,Galerida_magnirostris,Not a Migrant,Least Concern,Increasing,0,0,0,1,1,1,0,0,0,878000,0,1,0,1,0,0,1,0,1,0,3
Galerida malabarica,Galerida_malabarica,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,1,0,0,303000,0,0,1,1,0,0,1,0,1,0,3
Galerida modesta,Galerida_modesta,Not a Migrant,Least Concern,Stable,0,0,0,1,1,1,0,0,0,4450000,0,1,0,1,0,0,1,0,0,0,3
Galerida theklae,Galerida_theklae,Not a Migrant,Least Concern,Increasing,0,0,0,1,1,1,0,0,0,14900000,0,1,0,1,0,0,1,0,1,0,5
Gallicolumba crinigera,Gallicolumba_crinigera,Not a Migrant,Vulnerable,Decreasing,0,0,0,0,0,0,0,1,0,212000,0,0,1,0,0,1,0,0,0,0,3
Gallicolumba keayi,Gallicolumba_keayi,Not a Migrant,Critically Endangered,Decreasing,0,0,0,0,0,0,0,1,0,41100,0,0,1,0,0,1,0,0,0,0,3
Gallicolumba luzonica,Gallicolumba_luzonica,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,212000,0,0,1,0,0,1,0,0,0,0,3
Gallicolumba menagei,Gallicolumba_menagei,Not a Migrant,Critically Endangered,Unknown,0,0,0,0,0,0,0,1,0,780,0,0,1,0,0,1,0,0,0,0,3
Gallicolumba platenae,Gallicolumba_platenae,Not a Migrant,Critically Endangered,Decreasing,0,0,0,0,0,0,0,1,0,6800,0,0,1,0,0,1,0,0,0,0,3
